id,list_of_equipment_id,equipment_value,created_at,updated_at
98,5,0,2021-07-15 03:16:24,2021-07-15 03:16:24
99,1,5.08,2021-07-15 03:17:19,2021-07-15 03:17:19
100,5,0,2021-07-15 03:17:45,2021-07-15 03:17:45
101,6,1,2021-07-15 03:20:36,2021-07-15 03:20:36
102,5,1,2021-07-15 03:20:40,2021-07-15 03:20:40
103,3,0,2021-07-15 03:21:34,2021-07-15 03:21:34
104,3,2,2021-07-15 03:24:19,2021-07-15 03:24:19
105,5,0,2021-07-15 03:27:05,2021-07-15 03:27:05
106,5,1,2021-07-15 03:28:29,2021-07-15 03:28:29
107,5,0,2021-07-15 03:30:01,2021-07-15 03:30:01
108,5,1,2021-07-15 03:30:28,2021-07-15 03:30:28
109,5,1,2021-07-15 03:30:51,2021-07-15 03:30:51
110,4,0,2021-07-15 03:35:15,2021-07-15 03:35:15
111,3,1,2021-07-15 03:36:39,2021-07-15 03:36:39
112,2,0.89,2021-07-15 03:40:49,2021-07-15 03:40:49
113,4,0,2021-07-15 03:41:04,2021-07-15 03:41:04
114,5,0,2021-07-15 03:41:40,2021-07-15 03:41:40
115,4,1,2021-07-15 03:47:59,2021-07-15 03:47:59
116,6,0,2021-07-15 03:49:07,2021-07-15 03:49:07
117,3,1,2021-07-15 03:55:48,2021-07-15 03:55:48
118,4,0,2021-07-15 03:56:25,2021-07-15 03:56:25
119,1,12.72,2021-07-15 03:58:44,2021-07-15 03:58:44
120,5,1,2021-07-15 03:59:07,2021-07-15 03:59:07
121,3,0,2021-07-15 04:02:13,2021-07-15 04:02:13
122,5,1,2021-07-15 04:02:52,2021-07-15 04:02:52
123,1,5.34,2021-07-15 04:07:30,2021-07-15 04:07:30
124,3,0,2021-07-15 04:07:35,2021-07-15 04:07:35
125,6,1,2021-07-15 04:08:30,2021-07-15 04:08:30
126,6,1,2021-07-15 04:13:07,2021-07-15 04:13:07
127,2,1.13,2021-07-15 04:13:09,2021-07-15 04:13:09
128,1,6.09,2021-07-15 04:13:12,2021-07-15 04:13:12
129,6,0,2021-07-15 04:20:40,2021-07-15 04:20:40
130,2,0.79,2021-07-15 04:21:33,2021-07-15 04:21:33
131,1,5.62,2021-07-15 04:22:19,2021-07-15 04:22:19
132,1,5.88,2021-07-15 04:27:16,2021-07-15 04:27:16
133,3,1,2021-07-15 04:33:10,2021-07-15 04:33:10
134,6,1,2021-07-15 04:34:51,2021-07-15 04:34:51
135,2,1.08,2021-07-15 04:38:24,2021-07-15 04:38:24
136,2,0.98,2021-07-15 04:38:33,2021-07-15 04:38:33
137,2,1.91,2021-07-15 04:38:54,2021-07-15 04:38:54
138,3,1,2021-07-15 04:43:31,2021-07-15 04:43:31
139,5,1,2021-07-15 04:44:23,2021-07-15 04:44:23
140,1,5.54,2021-07-15 04:45:15,2021-07-15 04:45:15
141,2,0.41,2021-07-15 04:46:43,2021-07-15 04:46:43
142,3,2,2021-07-15 04:51:44,2021-07-15 04:51:44
143,5,1,2021-07-15 04:52:51,2021-07-15 04:52:51
144,2,1.15,2021-07-15 04:56:35,2021-07-15 04:56:35
145,3,1,2021-07-15 05:02:42,2021-07-15 05:02:42
146,5,1,2021-07-15 05:03:01,2021-07-15 05:03:01
147,3,0,2021-07-15 05:05:55,2021-07-15 05:05:55
148,6,0,2021-07-15 05:06:32,2021-07-15 05:06:32
149,4,0,2021-07-15 05:09:51,2021-07-15 05:09:51
150,2,1.01,2021-07-15 05:10:49,2021-07-15 05:10:49
151,5,1,2021-07-15 05:12:21,2021-07-15 05:12:21
152,4,0,2021-07-15 05:14:27,2021-07-15 05:14:27
153,4,1,2021-07-15 05:16:58,2021-07-15 05:16:58
154,1,2.49,2021-07-15 05:17:26,2021-07-15 05:17:26
155,3,1,2021-07-15 05:20:22,2021-07-15 05:20:22
156,6,1,2021-07-15 05:21:23,2021-07-15 05:21:23
157,3,2,2021-07-15 05:23:08,2021-07-15 05:23:08
158,1,5.51,2021-07-15 05:24:50,2021-07-15 05:24:50
159,1,1.03,2021-07-15 05:25:03,2021-07-15 05:25:03
160,5,1,2021-07-15 05:26:02,2021-07-15 05:26:02
161,5,1,2021-07-15 05:27:26,2021-07-15 05:27:26
162,4,1,2021-07-15 05:29:34,2021-07-15 05:29:34
163,5,0,2021-07-15 05:29:36,2021-07-15 05:29:36
164,3,1,2021-07-15 05:31:41,2021-07-15 05:31:41
165,4,0,2021-07-15 05:35:53,2021-07-15 05:35:53
166,4,0,2021-07-15 05:36:55,2021-07-15 05:36:55
167,3,2,2021-07-15 05:37:16,2021-07-15 05:37:16
168,2,1.19,2021-07-15 05:39:45,2021-07-15 05:39:45
169,5,1,2021-07-15 05:41:38,2021-07-15 05:41:38
170,6,0,2021-07-15 05:42:31,2021-07-15 05:42:31
171,3,0,2021-07-15 05:44:31,2021-07-15 05:44:31
172,5,0,2021-07-15 05:47:18,2021-07-15 05:47:18
173,5,1,2021-07-15 05:48:45,2021-07-15 05:48:45
174,2,0.86,2021-07-15 05:57:55,2021-07-15 05:57:55
175,4,0,2021-07-15 06:00:06,2021-07-15 06:00:06
176,6,1,2021-07-15 06:01:09,2021-07-15 06:01:09
177,1,5.16,2021-07-15 06:04:20,2021-07-15 06:04:20
178,4,1,2021-07-15 06:07:10,2021-07-15 06:07:10
179,6,1,2021-07-15 06:07:31,2021-07-15 06:07:31
180,1,5.75,2021-07-15 06:07:46,2021-07-15 06:07:46
181,3,0,2021-07-15 06:07:49,2021-07-15 06:07:49
182,3,1,2021-07-15 06:08:43,2021-07-15 06:08:43
183,3,0,2021-07-15 06:14:42,2021-07-15 06:14:42
184,3,2,2021-07-15 06:15:10,2021-07-15 06:15:10
185,1,5.29,2021-07-15 06:18:15,2021-07-15 06:18:15
186,6,0,2021-07-15 06:18:23,2021-07-15 06:18:23
187,3,0,2021-07-15 06:23:03,2021-07-15 06:23:03
188,6,0,2021-07-15 06:24:03,2021-07-15 06:24:03
189,6,1,2021-07-15 06:27:30,2021-07-15 06:27:30
190,2,0.9,2021-07-15 06:27:36,2021-07-15 06:27:36
191,5,1,2021-07-15 06:27:52,2021-07-15 06:27:52
192,4,1,2021-07-15 06:29:33,2021-07-15 06:29:33
193,2,0.11,2021-07-15 06:32:10,2021-07-15 06:32:10
194,3,2,2021-07-15 06:34:18,2021-07-15 06:34:18
195,4,1,2021-07-15 06:38:18,2021-07-15 06:38:18
196,3,0,2021-07-15 06:40:53,2021-07-15 06:40:53
197,5,1,2021-07-15 06:44:28,2021-07-15 06:44:28
198,1,5.39,2021-07-15 06:45:39,2021-07-15 06:45:39
199,6,0,2021-07-15 06:48:00,2021-07-15 06:48:00
200,3,1,2021-07-15 06:48:43,2021-07-15 06:48:43
201,6,1,2021-07-15 06:53:08,2021-07-15 06:53:08
202,2,1.02,2021-07-15 06:55:21,2021-07-15 06:55:21
203,6,1,2021-07-15 07:00:42,2021-07-15 07:00:42
204,1,5.14,2021-07-15 07:01:26,2021-07-15 07:01:26
205,3,0,2021-07-15 07:03:11,2021-07-15 07:03:11
206,5,0,2021-07-15 07:04:17,2021-07-15 07:04:17
207,2,0.72,2021-07-15 07:14:41,2021-07-15 07:14:41
208,6,1,2021-07-15 07:16:31,2021-07-15 07:16:31
209,5,0,2021-07-15 07:19:18,2021-07-15 07:19:18
210,4,0,2021-07-15 07:20:46,2021-07-15 07:20:46
211,5,1,2021-07-15 07:20:50,2021-07-15 07:20:50
212,5,1,2021-07-15 07:21:08,2021-07-15 07:21:08
213,1,5.36,2021-07-15 07:21:54,2021-07-15 07:21:54
214,2,1.19,2021-07-15 07:22:46,2021-07-15 07:22:46
215,2,0.77,2021-07-15 07:23:31,2021-07-15 07:23:31
216,1,6.01,2021-07-15 07:24:50,2021-07-15 07:24:50
217,3,2,2021-07-15 07:25:11,2021-07-15 07:25:11
218,6,1,2021-07-15 07:33:56,2021-07-15 07:33:56
219,2,1.01,2021-07-15 07:36:05,2021-07-15 07:36:05
220,5,0,2021-07-15 07:38:57,2021-07-15 07:38:57
221,1,6.12,2021-07-15 07:42:23,2021-07-15 07:42:23
222,4,0,2021-07-15 07:42:25,2021-07-15 07:42:25
223,6,1,2021-07-15 07:43:31,2021-07-15 07:43:31
224,4,0,2021-07-15 07:44:46,2021-07-15 07:44:46
225,1,5.79,2021-07-15 07:47:46,2021-07-15 07:47:46
226,2,0.76,2021-07-15 07:49:10,2021-07-15 07:49:10
227,3,1,2021-07-15 07:51:44,2021-07-15 07:51:44
228,5,1,2021-07-15 07:59:58,2021-07-15 07:59:58
229,1,6.21,2021-07-15 08:00:11,2021-07-15 08:00:11
230,1,12.19,2021-07-15 08:02:42,2021-07-15 08:02:42
231,1,10.88,2021-07-15 08:03:50,2021-07-15 08:03:50
232,3,0,2021-07-15 08:13:59,2021-07-15 08:13:59
233,4,0,2021-07-15 08:15:17,2021-07-15 08:15:17
234,5,0,2021-07-15 08:16:09,2021-07-15 08:16:09
235,6,0,2021-07-15 08:17:04,2021-07-15 08:17:04
236,3,2,2021-07-15 08:17:27,2021-07-15 08:17:27
237,6,1,2021-07-15 08:17:50,2021-07-15 08:17:50
238,2,0.88,2021-07-15 08:18:55,2021-07-15 08:18:55
239,3,2,2021-07-15 08:23:19,2021-07-15 08:23:19
240,2,1.89,2021-07-15 08:23:51,2021-07-15 08:23:51
241,2,1.79,2021-07-15 08:25:03,2021-07-15 08:25:03
242,1,4.30,2021-07-15 08:26:17,2021-07-15 08:26:17
243,3,0,2021-07-15 08:26:34,2021-07-15 08:26:34
244,3,2,2021-07-15 08:27:27,2021-07-15 08:27:27
245,2,0.25,2021-07-15 08:28:09,2021-07-15 08:28:09
246,4,0,2021-07-15 08:28:34,2021-07-15 08:28:34
247,4,0,2021-07-15 08:31:32,2021-07-15 08:31:32
248,1,3.08,2021-07-15 08:33:37,2021-07-15 08:33:37
249,4,1,2021-07-15 08:33:55,2021-07-15 08:33:55
250,3,0,2021-07-15 08:37:15,2021-07-15 08:37:15
251,3,1,2021-07-15 08:38:08,2021-07-15 08:38:08
252,6,0,2021-07-15 08:39:40,2021-07-15 08:39:40
253,3,2,2021-07-15 08:41:00,2021-07-15 08:41:00
254,6,1,2021-07-15 08:41:33,2021-07-15 08:41:33
255,5,0,2021-07-15 08:43:01,2021-07-15 08:43:01
256,6,0,2021-07-15 08:44:41,2021-07-15 08:44:41
257,6,0,2021-07-15 08:48:32,2021-07-15 08:48:32
258,4,1,2021-07-15 08:48:47,2021-07-15 08:48:47
259,4,0,2021-07-15 08:56:20,2021-07-15 08:56:20
260,4,1,2021-07-15 08:56:26,2021-07-15 08:56:26
261,2,0.72,2021-07-15 09:01:41,2021-07-15 09:01:41
262,5,0,2021-07-15 09:01:49,2021-07-15 09:01:49
263,4,0,2021-07-15 09:02:59,2021-07-15 09:02:59
264,2,1.09,2021-07-15 09:22:43,2021-07-15 09:22:43
265,3,2,2021-07-15 09:23:11,2021-07-15 09:23:11
266,4,1,2021-07-15 09:28:32,2021-07-15 09:28:32
267,2,0.75,2021-07-15 09:29:15,2021-07-15 09:29:15
268,1,5.59,2021-07-15 09:29:57,2021-07-15 09:29:57
269,2,1.13,2021-07-15 09:30:05,2021-07-15 09:30:05
270,5,1,2021-07-15 09:36:20,2021-07-15 09:36:20
271,2,0.9,2021-07-15 09:41:29,2021-07-15 09:41:29
272,3,0,2021-07-15 09:42:24,2021-07-15 09:42:24
273,3,0,2021-07-15 09:46:26,2021-07-15 09:46:26
274,5,0,2021-07-15 09:46:37,2021-07-15 09:46:37
275,4,0,2021-07-15 09:47:54,2021-07-15 09:47:54
276,1,5.90,2021-07-15 09:50:19,2021-07-15 09:50:19
277,1,6.90,2021-07-15 09:52:06,2021-07-15 09:52:06
278,4,1,2021-07-15 09:53:59,2021-07-15 09:53:59
279,2,1.39,2021-07-15 09:56:33,2021-07-15 09:56:33
280,2,1.42,2021-07-15 09:57:56,2021-07-15 09:57:56
281,3,0,2021-07-15 09:59:42,2021-07-15 09:59:42
282,5,0,2021-07-15 09:59:51,2021-07-15 09:59:51
283,3,0,2021-07-15 11:00:24,2021-07-15 11:00:24
284,6,0,2021-07-15 11:00:28,2021-07-15 11:00:28
285,3,2,2021-07-15 11:02:08,2021-07-15 11:02:08
286,6,1,2021-07-15 11:05:52,2021-07-15 11:05:52
287,6,0,2021-07-15 11:07:59,2021-07-15 11:07:59
288,3,1,2021-07-15 11:10:34,2021-07-15 11:10:34
289,3,1,2021-07-15 11:10:48,2021-07-15 11:10:48
290,1,9.22,2021-07-15 11:14:49,2021-07-15 11:14:49
291,1,0.41,2021-07-15 11:15:13,2021-07-15 11:15:13
292,1,5.06,2021-07-15 11:17:17,2021-07-15 11:17:17
293,4,1,2021-07-15 11:18:50,2021-07-15 11:18:50
294,3,0,2021-07-15 11:20:17,2021-07-15 11:20:17
295,3,1,2021-07-15 11:21:22,2021-07-15 11:21:22
296,3,2,2021-07-15 11:21:50,2021-07-15 11:21:50
297,6,1,2021-07-15 11:22:13,2021-07-15 11:22:13
298,5,1,2021-07-15 11:24:30,2021-07-15 11:24:30
299,4,0,2021-07-15 11:30:00,2021-07-15 11:30:00
300,5,1,2021-07-15 11:30:41,2021-07-15 11:30:41
301,2,1.02,2021-07-15 11:33:38,2021-07-15 11:33:38
302,6,0,2021-07-15 11:33:59,2021-07-15 11:33:59
303,6,1,2021-07-15 11:35:05,2021-07-15 11:35:05
304,4,1,2021-07-15 11:35:31,2021-07-15 11:35:31
305,4,1,2021-07-15 11:35:50,2021-07-15 11:35:50
306,6,1,2021-07-15 11:35:52,2021-07-15 11:35:52
307,2,1.25,2021-07-15 11:35:56,2021-07-15 11:35:56
308,6,0,2021-07-15 11:38:09,2021-07-15 11:38:09
309,2,1.24,2021-07-15 11:41:59,2021-07-15 11:41:59
310,3,0,2021-07-15 11:43:00,2021-07-15 11:43:00
311,2,0.79,2021-07-15 11:49:15,2021-07-15 11:49:15
312,3,0,2021-07-15 11:53:11,2021-07-15 11:53:11
313,5,1,2021-07-15 11:58:35,2021-07-15 11:58:35
314,3,2,2021-07-15 12:00:12,2021-07-15 12:00:12
315,1,6.15,2021-07-15 12:01:45,2021-07-15 12:01:45
316,6,0,2021-07-15 12:03:57,2021-07-15 12:03:57
317,4,1,2021-07-15 12:05:58,2021-07-15 12:05:58
318,2,0.71,2021-07-15 12:07:11,2021-07-15 12:07:11
319,6,1,2021-07-15 12:07:54,2021-07-15 12:07:54
320,6,0,2021-07-15 12:11:33,2021-07-15 12:11:33
321,3,2,2021-07-15 12:13:37,2021-07-15 12:13:37
322,2,0.75,2021-07-15 12:13:51,2021-07-15 12:13:51
323,2,1.09,2021-07-15 12:14:59,2021-07-15 12:14:59
324,5,1,2021-07-15 12:16:41,2021-07-15 12:16:41
325,3,2,2021-07-15 12:18:18,2021-07-15 12:18:18
326,6,0,2021-07-15 12:18:50,2021-07-15 12:18:50
327,1,11.57,2021-07-15 12:20:20,2021-07-15 12:20:20
328,2,0.78,2021-07-15 12:22:15,2021-07-15 12:22:15
329,2,0.82,2021-07-15 12:28:54,2021-07-15 12:28:54
330,4,1,2021-07-15 12:29:06,2021-07-15 12:29:06
331,2,1.88,2021-07-15 12:29:16,2021-07-15 12:29:16
332,4,0,2021-07-15 12:29:48,2021-07-15 12:29:48
333,4,1,2021-07-15 12:30:17,2021-07-15 12:30:17
334,5,0,2021-07-15 12:30:37,2021-07-15 12:30:37
335,4,0,2021-07-15 12:31:44,2021-07-15 12:31:44
336,5,0,2021-07-15 12:33:34,2021-07-15 12:33:34
337,6,1,2021-07-15 12:36:10,2021-07-15 12:36:10
338,4,0,2021-07-15 12:38:32,2021-07-15 12:38:32
339,3,2,2021-07-15 12:40:41,2021-07-15 12:40:41
340,5,0,2021-07-15 12:43:44,2021-07-15 12:43:44
341,1,12.14,2021-07-15 12:46:10,2021-07-15 12:46:10
342,6,1,2021-07-15 12:48:26,2021-07-15 12:48:26
343,4,0,2021-07-15 12:49:00,2021-07-15 12:49:00
344,4,0,2021-07-15 12:49:28,2021-07-15 12:49:28
345,6,0,2021-07-15 12:51:19,2021-07-15 12:51:19
346,5,0,2021-07-15 12:53:59,2021-07-15 12:53:59
347,2,1.1,2021-07-15 12:54:03,2021-07-15 12:54:03
348,6,1,2021-07-15 12:55:18,2021-07-15 12:55:18
349,1,4.49,2021-07-15 12:55:42,2021-07-15 12:55:42
350,3,0,2021-07-15 12:58:40,2021-07-15 12:58:40
351,5,0,2021-07-15 12:58:41,2021-07-15 12:58:41
352,5,0,2021-07-15 13:02:46,2021-07-15 13:02:46
353,5,0,2021-07-15 13:03:25,2021-07-15 13:03:25
354,5,1,2021-07-15 13:03:49,2021-07-15 13:03:49
355,3,1,2021-07-15 13:05:35,2021-07-15 13:05:35
356,6,0,2021-07-15 13:05:44,2021-07-15 13:05:44
357,3,2,2021-07-15 13:06:48,2021-07-15 13:06:48
358,1,6.02,2021-07-15 13:09:25,2021-07-15 13:09:25
359,4,1,2021-07-15 13:13:52,2021-07-15 13:13:52
360,2,1.05,2021-07-15 13:15:44,2021-07-15 13:15:44
361,6,1,2021-07-15 13:17:11,2021-07-15 13:17:11
362,6,1,2021-07-15 13:18:00,2021-07-15 13:18:00
363,2,1.04,2021-07-15 13:18:54,2021-07-15 13:18:54
364,2,0.95,2021-07-15 13:22:20,2021-07-15 13:22:20
365,3,2,2021-07-15 13:23:55,2021-07-15 13:23:55
366,5,1,2021-07-15 13:26:12,2021-07-15 13:26:12
367,1,5.58,2021-07-15 13:26:19,2021-07-15 13:26:19
368,1,8.54,2021-07-15 13:26:45,2021-07-15 13:26:45
369,1,1.68,2021-07-15 13:30:01,2021-07-15 13:30:01
370,3,1,2021-07-15 13:31:50,2021-07-15 13:31:50
371,2,0.7,2021-07-15 13:36:50,2021-07-15 13:36:50
372,2,0.35,2021-07-15 13:38:20,2021-07-15 13:38:20
373,3,2,2021-07-15 13:40:17,2021-07-15 13:40:17
374,6,1,2021-07-15 13:47:58,2021-07-15 13:47:58
375,5,0,2021-07-15 13:48:50,2021-07-15 13:48:50
376,2,1.1,2021-07-15 13:48:55,2021-07-15 13:48:55
377,2,0.74,2021-07-15 13:51:09,2021-07-15 13:51:09
378,6,0,2021-07-15 13:51:31,2021-07-15 13:51:31
379,6,0,2021-07-15 13:51:48,2021-07-15 13:51:48
380,4,1,2021-07-15 13:54:04,2021-07-15 13:54:04
381,5,0,2021-07-15 13:54:38,2021-07-15 13:54:38
382,4,0,2021-07-15 13:55:05,2021-07-15 13:55:05
383,4,1,2021-07-15 13:56:27,2021-07-15 13:56:27
384,2,0.75,2021-07-15 13:56:48,2021-07-15 13:56:48
385,6,0,2021-07-15 13:57:20,2021-07-15 13:57:20
386,6,0,2021-07-15 13:59:18,2021-07-15 13:59:18
387,3,0,2021-07-15 14:00:12,2021-07-15 14:00:12
388,1,5.68,2021-07-15 14:00:23,2021-07-15 14:00:23
389,5,1,2021-07-15 14:01:02,2021-07-15 14:01:02
390,2,0.77,2021-07-15 14:01:06,2021-07-15 14:01:06
391,2,0.09,2021-07-15 14:02:49,2021-07-15 14:02:49
392,2,0.85,2021-07-15 14:03:16,2021-07-15 14:03:16
393,6,1,2021-07-15 14:07:32,2021-07-15 14:07:32
394,4,0,2021-07-15 14:07:51,2021-07-15 14:07:51
395,2,1.12,2021-07-15 14:09:42,2021-07-15 14:09:42
396,4,1,2021-07-15 14:09:59,2021-07-15 14:09:59
397,5,1,2021-07-15 14:10:30,2021-07-15 14:10:30
398,2,0.86,2021-07-15 14:14:44,2021-07-15 14:14:44
399,6,0,2021-07-15 14:15:20,2021-07-15 14:15:20
400,5,0,2021-07-15 14:16:53,2021-07-15 14:16:53
401,5,1,2021-07-15 14:18:39,2021-07-15 14:18:39
402,2,0.88,2021-07-15 14:20:16,2021-07-15 14:20:16
403,6,1,2021-07-15 14:27:01,2021-07-15 14:27:01
404,3,1,2021-07-15 14:29:29,2021-07-15 14:29:29
405,4,1,2021-07-15 14:32:54,2021-07-15 14:32:54
406,6,0,2021-07-15 14:33:18,2021-07-15 14:33:18
407,5,0,2021-07-15 14:34:12,2021-07-15 14:34:12
408,4,0,2021-07-15 14:34:15,2021-07-15 14:34:15
409,1,3.06,2021-07-15 14:35:05,2021-07-15 14:35:05
410,2,0.99,2021-07-15 14:39:39,2021-07-15 14:39:39
411,4,1,2021-07-15 14:41:23,2021-07-15 14:41:23
412,1,9.76,2021-07-15 14:43:36,2021-07-15 14:43:36
413,1,5.01,2021-07-15 14:51:16,2021-07-15 14:51:16
414,2,1.15,2021-07-15 14:51:24,2021-07-15 14:51:24
415,1,10.62,2021-07-15 14:53:59,2021-07-15 14:53:59
416,4,1,2021-07-15 14:56:49,2021-07-15 14:56:49
417,2,1.57,2021-07-15 14:56:56,2021-07-15 14:56:56
418,5,0,2021-07-15 14:59:39,2021-07-15 14:59:39
419,5,1,2021-07-15 14:59:57,2021-07-15 14:59:57
420,4,1,2021-07-15 15:01:08,2021-07-15 15:01:08
421,5,1,2021-07-15 15:04:12,2021-07-15 15:04:12
422,5,0,2021-07-15 15:15:06,2021-07-15 15:15:06
423,5,1,2021-07-15 15:15:15,2021-07-15 15:15:15
424,2,0.96,2021-07-15 15:16:13,2021-07-15 15:16:13
425,1,4.70,2021-07-15 15:16:55,2021-07-15 15:16:55
426,3,0,2021-07-15 15:19:07,2021-07-15 15:19:07
427,4,0,2021-07-15 15:26:30,2021-07-15 15:26:30
